Darien Cost,Panama Cost,GuatMex Cost
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.010996,0.01117,0.011274
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.0125,0.0125,0.0125
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.011134,0.011292,0.011386
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.008735,0.009171,0.009431
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.009777,0.010093,0.01028
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005112
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.005,0.005,0.005585
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.010318,0.010571,0.010721
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
0.008509,0.008972,0.009247
